Ma Vi Pham,Track ID,Loai Phuong Tien,Ma Truong Hop,Lan Xuat Phat,Huong Di Chuyen,Ten Loi Phap Luat,Hanh Vi Chi Tiet,Muc Phat,Can Cu,Bang Chung,Frame Anh Xe Ro Nhat,Diem Anh Xe,Do Net Anh Xe,Frame Dau,Frame Cuoi,Anh Xe Vi Pham,Anh Review,Thoi Gian
V001,296,Motorcycle,CASE_6,left,turn_left,"Khong chap hanh hieu lenh, chi dan cua bien bao hieu, vach ke duong",Doi sang lan di thang hoac vung di thang roi moi re trai,100.000 - 200.000 VND,Nghi dinh 168/2024/ND-CP,start_lane=left (10/10 diem dau); sequence=1>2>4>3; lane_sequence=left>straight; zone_sequence=straight_exit>left_exit; final_exit_zone=left_exit (12/12 diem cuoi),93,0.3646,925.7,55,351,C:\Users\Admin\ducmanhjr\thi_giac\module_di_sai_lan_duong\outputs\violating_vehicles\vehicle_V001_track_296.png,C:\Users\Admin\ducmanhjr\thi_giac\module_di_sai_lan_duong\outputs\reviews\review_V001_track_296.png,2026-06-04 13:01:13
V002,456,Car,CASE_4,straight,turn_left,"Khong chap hanh hieu lenh, chi dan cua bien bao hieu, vach ke duong",Re trai tren lan duong bat buoc di thang,400.000 - 600.000 VND,Nghi dinh 168/2024/ND-CP,start_lane=straight (10/10 diem dau); sequence=2>4>3; direction=turn_left; final_exit_zone=left_exit (12/12 diem cuoi); exit_frame=505; zone_sequence=straight_exit>left_exit,150,0.4522,567.4,82,505,C:\Users\Admin\ducmanhjr\thi_giac\module_di_sai_lan_duong\outputs\violating_vehicles\vehicle_V002_track_456.png,C:\Users\Admin\ducmanhjr\thi_giac\module_di_sai_lan_duong\outputs\reviews\review_V002_track_456.png,2026-06-04 13:01:13
